ID,wt_a,pat_a,m/w,log
12774,0.7653342829620217,0.6046530488779425,0.79,-0.3400754415976217
12778,0.7233606557377049,0.5617204432993907,0.78,-0.3584539709124763
12780,0.4295460347235966,0.2641374762360075,0.61,-0.7131188522118385
12782,0.5670185078079815,0.5413182981034459,0.95,-0.07400058144377693
12783,0.8938961876633738,0.8481330115251852,0.95,-0.07400058144377693
12786,0.6023859404096834,0.45446064139941705,0.75,-0.4150374992788438
12788,0.9141496598639456,0.8135382059800664,0.89,-0.16812275880832692
12801,0.6629116153342071,0.4274221304422647,0.64,-0.6438561897747246
12802,0.8926371566934963,0.7694199896426721,0.86,-0.2175914350726268
12804,0.9217282859378018,0.7976305511516779,0.87,-0.20091269392599642
12812,0.7303053148677909,0.5690043309886544,0.78,-0.3584539709124763
12816,0.8703537295912169,0.724369828402545,0.83,-0.2688167584278
12819,0.5603773498205613,0.3594663692301094,0.64,-0.6438561897747246
12821,0.5791668773065062,0.265495867768595,0.46,-1.1202942337177118
12822,0.7947910477322242,0.7100713421943401,0.89,-0.16812275880832692
12825,0.5199612007351441,0.5281749657377799,1.02,0.02856915219677092
12828,0.4955883043131366,0.3372081898201301,0.68,-0.5563933485243852
12829,0.4276018099547511,0.2614140070921986,0.61,-0.7131188522118385
12831,0.6760771829884672,0.4372060269458691,0.65,-0.6214883767462702
12833,0.4926138410797927,0.3628322259136213,0.74,-0.4344028241457749
12836,0.6869565217391305,0.4729166666666667,0.69,-0.5353317329965557
12841,0.6229350850621675,0.5231380039402239,0.84,-0.2515387669959645
12843,0.5542302612555584,0.4370863016551089,0.79,-0.3400754415976217
12844,0.5680192489300568,0.3680104154337791,0.65,-0.6214883767462702
12847,0.8833439120223444,0.8347184708909976,0.94,-0.08926733809708741
