ID,cap,uncap,wt1,Assigned_gene_name
910,136,85,0.6153846153846154,YDL127W
913,32,14,0.6956521739130435,YDL124W
914,1110,2315,0.32408759124087594,YDL124W
917,20,34,0.3703703703703704,YDL123W
918,856,316,0.7303754266211604,YDL123W
920,3,0,1.0,YDL122W
921,393,292,0.5737226277372263,YDL122W
922,76,73,0.5100671140939598,YDL122W
923,391,162,0.7070524412296564,YDL120W
925,150,38,0.7978723404255319,YDL117W
926,173,59,0.7456896551724138,YDL117W
927,308,139,0.6890380313199105,YDL116W
928,33,2,0.9428571428571428,YDL114W-A
929,118,193,0.37942122186495175,YDL112W
931,414,127,0.7652495378927912,YDL108W
932,97,17,0.8508771929824561,YDL107W
937,5,1,0.8333333333333334,YDL105W
938,49,5,0.9074074074074074,YDL105W
940,195,37,0.8405172413793104,YDL102W
941,318,229,0.5813528336380256,YDL099W
942,461,236,0.6614060258249641,YDL095W
943,70,127,0.3553299492385787,YDL093W
946,473,1144,0.2925170068027211,YDL092W
949,141,112,0.5573122529644269,YDL089W
950,54,52,0.5094339622641509,YDL089W
951,1637,288,0.8503896103896104,YDL086W
953,1,1,0.5,YDL085W
954,2575,1308,0.6631470512490343,YDL084W
955,19,12,0.6129032258064516,YDL084W
956,16997,2167,0.8869233980379879,YDL082W
967,3,10,0.2307692307692308,YDL075W
968,14,12,0.5384615384615384,YDL075W
969,43287,8769,0.8315467957584141,YDL075W
971,155,167,0.4813664596273292,YDL073W
972,59,14,0.8082191780821918,YDL070W
973,1162,173,0.8704119850187266,YDL070W
975,19,19,0.5,YDL066W
976,5579,989,0.84942143727162,YDL066W
978,956,244,0.7966666666666666,YDL064W
979,396,197,0.6677908937605397,YDL060W
980,236,122,0.659217877094972,YDL058W
981,38,41,0.4810126582278481,YDL057W
984,118,14,0.8939393939393939,YDL056W
987,1453,1223,0.5429745889387145,YDL051W
990,45,23,0.6617647058823529,YDL047W
991,635,124,0.836627140974967,YDL047W
992,7544,3384,0.6903367496339677,YDL046W
993,1712,612,0.7366609294320138,YDL045W-A
1003,103,88,0.5392670157068062,YDL031W
1005,127,44,0.7426900584795322,YDL030W
1007,780,153,0.8360128617363344,YDL029W
1010,14,2,0.875,YDL026W
